"Valley Fever Cases by Month of Estimated Illness Onset, California, 2001-2023 ",,
Month (number),Year of Estimated Illness Onset,Cases
1,2001,77
1,2002,139
1,2003,112
1,2004,252
1,2005,189
1,2006,301
1,2007,308
1,2008,223
1,2009,228
1,2010,250
1,2011,419
1,2012,515
1,2013,269
1,2014,257
1,2015,217
1,2016,290
1,2017,373
1,2018,1037
1,2019,744
1,2020,717
1,2021,768
1,2022,594
1,2023,606
2,2001,49
2,2002,79
2,2003,63
2,2004,174
2,2005,127
2,2006,216
2,2007,265
2,2008,222
2,2009,177
2,2010,142
2,2011,253
2,2012,509
2,2013,234
2,2014,227
2,2015,182
2,2016,276
2,2017,287
2,2018,620
2,2019,683
2,2020,730
2,2021,685
2,2022,536
2,2023,489
3,2001,39
3,2002,96
3,2003,72
3,2004,196
3,2005,142
3,2006,252
3,2007,314
3,2008,182
3,2009,158
3,2010,155
3,2011,286
3,2012,384
3,2013,218
3,2014,159
3,2015,202
3,2016,235
3,2017,305
3,2018,568
3,2019,788
3,2020,669
3,2021,711
3,2022,536
3,2023,584
4,2001,43
4,2002,108
4,2003,81
4,2004,184
4,2005,122
4,2006,196
4,2007,231
4,2008,189
4,2009,169
4,2010,151
4,2011,293
4,2012,336
4,2013,267
4,2014,179
4,2015,231
4,2016,276
4,2017,282
4,2018,486
4,2019,656
4,2020,480
4,2021,583
4,2022,619
4,2023,479
5,2001,60
5,2002,137
5,2003,99
5,2004,220
5,2005,119
5,2006,155
5,2007,211
5,2008,154
5,2009,183
5,2010,137
5,2011,307
5,2012,317
5,2013,367
5,2014,192
5,2015,174
5,2016,211
5,2017,337
5,2018,546
5,2019,691
5,2020,443
5,2021,601
5,2022,678
5,2023,527
6,2001,75
6,2002,239
6,2003,106
6,2004,221
6,2005,133
6,2006,215
6,2007,232
6,2008,161
6,2009,237
6,2010,229
6,2011,350
6,2012,314
6,2013,285
6,2014,171
6,2015,215
6,2016,309
6,2017,457
6,2018,492
6,2019,602
6,2020,512
6,2021,627
6,2022,644
6,2023,569
7,2001,93
7,2002,201
7,2003,190
7,2004,215
7,2005,133
7,2006,199
7,2007,217
7,2008,171
7,2009,219
7,2010,276
7,2011,443
7,2012,297
7,2013,286
7,2014,199
7,2015,295
7,2016,389
7,2017,503
7,2018,595
7,2019,630
7,2020,476
7,2021,715
7,2022,622
7,2023,572
8,2001,185
8,2002,170
8,2003,234
8,2004,227
8,2005,202
8,2006,335
8,2007,303
8,2008,197
8,2009,247
8,2010,472
8,2011,553
8,2012,324
8,2013,284
8,2014,169
8,2015,260
8,2016,616
8,2017,745
8,2018,636
8,2019,753
8,2020,583
8,2021,653
8,2022,705
8,2023,722
9,2001,197
9,2002,118
9,2003,221
9,2004,242
9,2005,328
9,2006,333
9,2007,211
9,2008,214
9,2009,201
9,2010,640
9,2011,629
9,2012,301
9,2013,234
9,2014,193
9,2015,328
9,2016,734
9,2017,837
9,2018,587
9,2019,744
9,2020,598
9,2021,668
9,2022,687
9,2023,750
10,2001,300
10,2002,134
10,2003,278
10,2004,208
10,2005,424
10,2006,290
10,2007,233
10,2008,227
10,2009,205
10,2010,859
10,2011,636
10,2012,271
10,2013,293
10,2014,192
10,2015,407
10,2016,960
10,2017,1224
10,2018,709
10,2019,995
10,2020,726
10,2021,681
10,2022,580
10,2023,993
11,2001,225
11,2002,96
11,2003,316
11,2004,245
11,2005,503
11,2006,277
11,2007,239
11,2008,209
11,2009,176
11,2010,620
11,2011,553
11,2012,301
11,2013,323
11,2014,188
11,2015,351
11,2016,734
11,2017,1242
11,2018,724
11,2019,970
11,2020,671
11,2021,706
11,2022,667
11,2023,1322
12,2001,148
12,2002,95
12,2003,266
12,2004,154
12,2005,416
12,2006,268
12,2007,183
12,2008,242
12,2009,198
12,2010,511
12,2011,512
12,2012,257
12,2013,269
12,2014,208
12,2015,321
12,2016,545
12,2017,1123
12,2018,642
12,2019,837
12,2020,655
12,2021,653
12,2022,606
12,2023,1441
